"drugbank_id","entrez_id","category","subcategory","ID","Description","FoldEnrichment","pvalue","p.adjust"
"DB00608","7124","Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection",2.23780558051658,2.63363279035559e-11,1.18513475566001e-10
"DB00608","7124","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis",2.68203497615262,3.52499332207367e-11,1.54659082005982e-10
"DB00608","7124","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection",1.93455456506927,4.74237050561622e-11,2.05502721910036e-10
"DB00608","7124","Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway",2.37621971674859,6.94289878488754e-11,2.90113984939944e-10
"DB00608","7124","Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway",2.28632489770388,8.65939135167143e-11,3.49361651084675e-10
"DB00608","7124","Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway",2.23145310015898,2.7642149014054e-10,1.00024683545701e-09
"DB00608","7124","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection",1.88530228964534,9.59666251117239e-10,3.30238092296226e-09
"DB00608","7124","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage",2.3410333863275,1.06950678906381e-09,3.64462993166407e-09
"DB00608","7124","Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway",2.59874196447086,2.80409128383289e-09,8.64499203940174e-09
"DB00608","7124","Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance",2.19343358469101,1.032601007473e-08,2.87653137796051e-08
"DB00608","7124","Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis",2.13468089938678,2.97723157934683e-08,8.03852526423645e-08
"DB00608","7124","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis",2.17613101393798,3.98070676933659e-08,1.05054742559184e-07
